date,rank,region,niche,lane_status,attempts_logged,intake_matches,priority_score,recommended_query,next_action,safety_gate,notes
2026-06-24,1,Capricorn Coast,art gallery workshops market,try-new-source,2,0,80,"""Capricorn Coast"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,2,Capricorn Coast,cafe restaurant bar catering,try-new-source,2,0,80,"""Capricorn Coast"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,3,Capricorn Coast,salon beauty barber,try-new-source,2,0,80,"""Capricorn Coast"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,4,Emu Park,salon beauty barber,try-new-source,2,0,80,"""Emu Park"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,5,Kawana Rockhampton,salon beauty barber,try-new-source,2,0,80,"""Kawana Rockhampton"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,6,Capricorn Coast,landscaping excavation mini digger,try-new-source,3,0,70,"""Capricorn Coast"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,7,Kawana Rockhampton,art gallery workshops market,try-new-source,4,0,70,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,8,Kawana Rockhampton,cleaning pest control,try-new-source,3,0,70,"""Kawana Rockhampton"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,9,Kawana Rockhampton,landscaping excavation mini digger,try-new-source,4,0,70,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,10,Rockhampton,art gallery workshops market,try-new-source,4,0,70,"""Rockhampton"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,11,Rockhampton,cleaning pest control,try-new-source,3,0,70,"""Rockhampton"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,12,Rockhampton,landscaping excavation mini digger,try-new-source,4,0,70,"""Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,13,Rockhampton,salon beauty barber,try-new-source,4,0,70,"""Rockhampton"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,14,Yeppoon,landscaping excavation mini digger,try-new-source,4,0,70,"""Yeppoon"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-24,15,Capricorn Coast,cleaning pest control,verify-gap,1,1,53,"""Capricorn Coast"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
