date,decision,area,approved_by,evidence_path,notes
2026-06-16,hold: CocoBrew Express Yeppoon,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/cocobrew-express-yeppoon.md,Promotions placed on hold by Daniel; gather more evidence before promotion.
2026-06-16,hold: CocoBrew Rockhampton,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/cocobrew-rockhampton.md,Promotions placed on hold by Daniel; gather more evidence before promotion.
2026-06-16,hold: CocoBrew Riverfront,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/cocobrew-riverfront.md,Promotions placed on hold by Daniel; gather more evidence before promotion.
2026-06-16,hold: Pine Beach Hotel,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/pine-beach-hotel.md,Promotions placed on hold by Daniel; gather more evidence before promotion.
2026-06-16,hold: Yeppoon Community Market,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/yeppoon-community-market.md,Promotions placed on hold by Daniel; gather more evidence before promotion.
2026-06-17,approve: CocoBrew Express Yeppoon,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/cocobrew-express-yeppoon.md,"Daniel approved promotion of all suitable candidates on 2026-06-17; promotion only, no outreach approval."
2026-06-17,approve: CocoBrew Rockhampton,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/cocobrew-rockhampton.md,"Daniel approved promotion of all suitable candidates on 2026-06-17; promotion only, no outreach approval."
2026-06-17,approve: CocoBrew Riverfront,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/cocobrew-riverfront.md,"Daniel approved promotion of all suitable candidates on 2026-06-17; promotion only, no outreach approval."
2026-06-17,approve: Pine Beach Hotel,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/pine-beach-hotel.md,"Daniel approved promotion of all suitable candidates on 2026-06-17; promotion only, no outreach approval."
2026-06-17,approve: Yeppoon Community Market,promotion,Daniel,.agent/memory/working/intake_opportunity_briefs/yeppoon-community-market.md,"Daniel approved promotion of all suitable candidates on 2026-06-17; promotion only, no outreach approval."
