date,region,niche,query,evidence_required,safe_next_action,status,notes
2026-06-17,Kawana Rockhampton,cafe restaurant bar catering,"""Kawana Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Kawana Rockhampton,cleaning pest control,"""Kawana Rockhampton"" ""cleaning pest control"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Kawana Rockhampton,landscaping excavation mini digger,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Kawana Rockhampton,salon beauty barber,"""Kawana Rockhampton"" ""salon beauty barber"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Kawana Rockhampton,art gallery workshops market,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Rockhampton,cafe restaurant bar catering,"""Rockhampton"" ""cafe restaurant bar catering"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,covered-but-refresh,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Rockhampton,cleaning pest control,"""Rockhampton"" ""cleaning pest control"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Rockhampton,landscaping excavation mini digger,"""Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Rockhampton,salon beauty barber,"""Rockhampton"" ""salon beauty barber"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Rockhampton,art gallery workshops market,"""Rockhampton"" ""art gallery workshops market"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,active,"No contact, scraping behind login, form submission, or account interaction."
2026-06-17,Yeppoon,cafe restaurant bar catering,"""Yeppoon"" ""cafe restaurant bar catering"" Facebook Instagram website","business name, public social URL, website status or visible website gap, source URL",Research only; add to prospect_intake.csv only when evidence is sourced and business-owned.,covered-but-refresh,"No contact, scraping behind login, form submission, or account interaction."
