date,region,niche,source_family,query,quality_score,use_when,evidence_to_capture,failure_pattern,safe_next_action,notes
2026-06-16,Capricorn Coast,cleaning pest control,Facebook public page,"""Capricorn Coast"" ""cleaning"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Capricorn Coast,cleaning pest control,Facebook public page,"""Capricorn Coast"" ""pest control"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Capricorn Coast,cleaning pest control,Facebook public page,"""Capricorn Coast"" ""termite"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Capricorn Coast,cleaning pest control,Facebook public page,"""Capricorn Coast"" ""carpet cleaning"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Emu Park,cleaning pest control,Facebook public page,"""Emu Park"" ""cleaning"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Emu Park,cleaning pest control,Facebook public page,"""Emu Park"" ""pest control"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Emu Park,cleaning pest control,Facebook public page,"""Emu Park"" ""termite"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Emu Park,cleaning pest control,Facebook public page,"""Emu Park"" ""carpet cleaning"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Emu Park,salon beauty barber,Facebook public page,"""Emu Park"" ""hair salon"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-16,Emu Park,salon beauty barber,Facebook public page,"""Emu Park"" ""beauty"" site:facebook.com",86,"Use before broad web search, especially after locality pages dominate results.","business-owned public page URL, visible business name, region match, activity signal",1 prior no-candidate/no-social attempts for this lane,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
