date,rank,business,region,niche,priority_score,status,next_best_action,evidence_path,notes
2026-06-24,1,CocoBrew Express Yeppoon,Yeppoon,drive-thru cafe / catering,161,research-more,Keep researching evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,2,CocoBrew Riverfront,Rockhampton,restaurant / bar,161,research-more,Keep researching evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,3,CocoBrew Rockhampton,Rockhampton,restaurant / functions / accommodation,161,research-more,Keep researching evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,4,Pine Beach Hotel,Emu Park,hotel / restaurant / bar / accommodation,161,research-more,Keep researching evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,5,CQ Gutter Cleaning,Yeppoon,gutter-cleaning,159,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/cq-gutter-cleaning.md,Prioritized for supervised review; no outreach approval implied.
2026-06-24,6,Yeppoon Community Market,Yeppoon,community market / food and produce,159,research-more,Keep researching evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,7,Ella Anderson beauty,Yeppoon,beauty salon,155,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/ella-anderson-beauty.md,Prioritized for supervised review; no outreach approval implied.
2026-06-24,8,Her. Hair,Yeppoon,hair salon / hair stylist,155,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/her-hair.md,Prioritized for supervised review; no outreach approval implied.
2026-06-24,9,Beachwood Mini Digger,Emu Park,mini digger / garden irrigation,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,10,Fantastic Landscaping,Emu Park,landscaping,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,11,Scrub-Brite Cleaning Services,Emu Park,cleaning services,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,12,Termi Home & Commercial CQ,Emu Park / Capricorn Coast,pest control,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,13,The Gallery - Emu Park,Emu Park,art gallery / workshops,94,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,14,The Mill Gallery,Yeppoon,art gallery / workshops,94,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-24,15,Emu Park Pizza,Emu Park,takeaway / pizza,90,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
