date,rank,business,trigger_decision,step_order,step,owner,safe_command_or_action,expected_artifact,blocked_until,safety_gate,notes
2026-06-24,5,CQ Gutter Cleaning,promotion approve recorded by Daniel,1,Record local promotion decision,Daniel,"python3 .agent/skills/growth-engine/scripts/record-approval-decision.py --business ""CQ Gutter Cleaning"" --decided-by ""Daniel"" --decision approve --notes ""Approved for prospect promotion only.""",.agent/memory/working/approval_decisions.csv,Daniel chooses approve after reviewing evidence.,Decision recording is not promotion or outreach approval.,Reject and hold commands remain available in the decision cockpit.
2026-06-24,5,CQ Gutter Cleaning,promotion approve recorded by Daniel,2,Promote approved staged candidate,Codex,"python3 .agent/skills/growth-engine/scripts/promote-intake.py --business ""CQ Gutter Cleaning"" --approved-by ""Daniel""",.agent/memory/working/prospects.csv and .agent/memory/working/promotion_log.csv,Step 1 exists as a recorded approval decision.,Promotion is not outreach approval and does not contact the business.,Promotion script enforces the recorded approval decision before editing prospects.csv.
2026-06-24,5,CQ Gutter Cleaning,promotion approve recorded by Daniel,3,Regenerate local prospect artifacts,Codex,python3 .agent/skills/growth-engine/scripts/run-ceo-loop.py,"mockup_briefs.csv, delivery_readiness.csv, outreach_drafts.csv, contact_compliance.csv, pre_send_readiness.csv",Step 2 has promoted the candidate into prospects.csv.,"Local generation only; no send, publish, hosting, billing, or remote GitHub write.",This refreshes safe planning artifacts after promotion.
2026-06-24,5,CQ Gutter Cleaning,promotion approve recorded by Daniel,4,Review contact compliance and pre-send gates,Daniel,Review .agent/memory/working/contact_compliance.csv and .agent/memory/working/pre_send_readiness.csv,.agent/memory/working/pre_send_readiness.csv,"Contact basis, sender identity, opt-out, exact copy, and outreach approval are documented.","No email, SMS, DM, forms, social posts, calls, or scheduling without exact approval.","The default promoted contact basis is none documented, so outreach should remain blocked until corrected."
2026-06-24,5,CQ Gutter Cleaning,promotion approve recorded by Daniel,5,Optional local GitHub issue review,Daniel,Review .agent/memory/working/github_issue_drafts/cq-gutter-cleaning.md,.agent/memory/working/github_issue_drafts/,Daniel explicitly approves exact remote issue creation workflow.,No remote GitHub writes from this workflow map.,GitHub readiness for CQ Gutter Cleaning: ready-local-only.
2026-06-24,7,Ella Anderson beauty,promotion approve recorded by Daniel,1,Record local promotion decision,Daniel,"python3 .agent/skills/growth-engine/scripts/record-approval-decision.py --business ""Ella Anderson beauty"" --decided-by ""Daniel"" --decision approve --notes ""Approved for prospect promotion only.""",.agent/memory/working/approval_decisions.csv,Daniel chooses approve after reviewing evidence.,Decision recording is not promotion or outreach approval.,Reject and hold commands remain available in the decision cockpit.
2026-06-24,7,Ella Anderson beauty,promotion approve recorded by Daniel,2,Promote approved staged candidate,Codex,"python3 .agent/skills/growth-engine/scripts/promote-intake.py --business ""Ella Anderson beauty"" --approved-by ""Daniel""",.agent/memory/working/prospects.csv and .agent/memory/working/promotion_log.csv,Step 1 exists as a recorded approval decision.,Promotion is not outreach approval and does not contact the business.,Promotion script enforces the recorded approval decision before editing prospects.csv.
2026-06-24,7,Ella Anderson beauty,promotion approve recorded by Daniel,3,Regenerate local prospect artifacts,Codex,python3 .agent/skills/growth-engine/scripts/run-ceo-loop.py,"mockup_briefs.csv, delivery_readiness.csv, outreach_drafts.csv, contact_compliance.csv, pre_send_readiness.csv",Step 2 has promoted the candidate into prospects.csv.,"Local generation only; no send, publish, hosting, billing, or remote GitHub write.",This refreshes safe planning artifacts after promotion.
2026-06-24,7,Ella Anderson beauty,promotion approve recorded by Daniel,4,Review contact compliance and pre-send gates,Daniel,Review .agent/memory/working/contact_compliance.csv and .agent/memory/working/pre_send_readiness.csv,.agent/memory/working/pre_send_readiness.csv,"Contact basis, sender identity, opt-out, exact copy, and outreach approval are documented.","No email, SMS, DM, forms, social posts, calls, or scheduling without exact approval.","The default promoted contact basis is none documented, so outreach should remain blocked until corrected."
2026-06-24,7,Ella Anderson beauty,promotion approve recorded by Daniel,5,Optional local GitHub issue review,Daniel,Review .agent/memory/working/github_issue_drafts/ella-anderson-beauty.md,.agent/memory/working/github_issue_drafts/,Daniel explicitly approves exact remote issue creation workflow.,No remote GitHub writes from this workflow map.,GitHub readiness for Ella Anderson beauty: ready-local-only.
2026-06-24,8,Her. Hair,promotion approve recorded by Daniel,1,Record local promotion decision,Daniel,"python3 .agent/skills/growth-engine/scripts/record-approval-decision.py --business ""Her. Hair"" --decided-by ""Daniel"" --decision approve --notes ""Approved for prospect promotion only.""",.agent/memory/working/approval_decisions.csv,Daniel chooses approve after reviewing evidence.,Decision recording is not promotion or outreach approval.,Reject and hold commands remain available in the decision cockpit.
2026-06-24,8,Her. Hair,promotion approve recorded by Daniel,2,Promote approved staged candidate,Codex,"python3 .agent/skills/growth-engine/scripts/promote-intake.py --business ""Her. Hair"" --approved-by ""Daniel""",.agent/memory/working/prospects.csv and .agent/memory/working/promotion_log.csv,Step 1 exists as a recorded approval decision.,Promotion is not outreach approval and does not contact the business.,Promotion script enforces the recorded approval decision before editing prospects.csv.
2026-06-24,8,Her. Hair,promotion approve recorded by Daniel,3,Regenerate local prospect artifacts,Codex,python3 .agent/skills/growth-engine/scripts/run-ceo-loop.py,"mockup_briefs.csv, delivery_readiness.csv, outreach_drafts.csv, contact_compliance.csv, pre_send_readiness.csv",Step 2 has promoted the candidate into prospects.csv.,"Local generation only; no send, publish, hosting, billing, or remote GitHub write.",This refreshes safe planning artifacts after promotion.
2026-06-24,8,Her. Hair,promotion approve recorded by Daniel,4,Review contact compliance and pre-send gates,Daniel,Review .agent/memory/working/contact_compliance.csv and .agent/memory/working/pre_send_readiness.csv,.agent/memory/working/pre_send_readiness.csv,"Contact basis, sender identity, opt-out, exact copy, and outreach approval are documented.","No email, SMS, DM, forms, social posts, calls, or scheduling without exact approval.","The default promoted contact basis is none documented, so outreach should remain blocked until corrected."
