date,business,social_status,website_status,source_status,readiness,next_action,notes
2026-06-17,Yeppoon Community Market,verified,owned-website-missing,directory-and-social,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Source says Saturdays 6am-10am at Yeppoon Show Grounds and links More Info to Facebook.
2026-06-17,The Mill Gallery,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,"Source lists The Mill Gallery at Normanby Street, Yeppoon, open Tuesday-Sunday 10-4."
2026-06-17,The Gallery - Emu Park,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,"Source lists The Gallery at 42 Pattison Street, Emu Park, open Wednesday-Sunday 10-4."
2026-06-17,Fantastic Landscaping,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Fantastic Landscaping with phone number in Emu Park Online shops/businesses.
2026-06-17,Scrub-Brite Cleaning Services,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Scrub-Brite Cleaning Services with phone number in Emu Park Online shops/businesses.
2026-06-17,Termi Home & Commercial CQ,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Termi Home & Commercial CQ with phone number in Emu Park Online shops/businesses.
2026-06-17,Beachwood Mini Digger,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,"Source lists Beachwood Mini Digger, Garden Irrigation in Emu Park Online shops/businesses."
2026-06-17,Emu Park Pizza,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Emu Park Pizza with phone number in Emu Park Online shops/businesses.
2026-06-17,CocoBrew Riverfront,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Source checked via public site HTML; no outreach or form interaction.
2026-06-17,CocoBrew Rockhampton,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Source checked via public site HTML; no outreach or form interaction.
2026-06-17,CocoBrew Express Yeppoon,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Source checked via public site HTML; no outreach or form interaction.
2026-06-17,Pine Beach Hotel,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Captured from public website research only; no outreach performed.
