date,rank,region,niche,experiment_type,query,hypothesis,prior_failure_signal,success_criteria,safe_next_action,status,notes
2026-06-17,1,Yeppoon,salon beauty barber,source-route-shift,"""Yeppoon"" ""hair salon"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,2 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,2,Capricorn Coast,art gallery workshops market,source-route-shift,"""Capricorn Coast"" ""gallery"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,3,Capricorn Coast,cafe restaurant bar catering,source-route-shift,"""Capricorn Coast"" ""cafe"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,4,Capricorn Coast,landscaping excavation mini digger,source-route-shift,"""Capricorn Coast"" ""landscaping"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,4 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,5,Capricorn Coast,salon beauty barber,source-route-shift,"""Capricorn Coast"" ""hair salon"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,6,Emu Park,salon beauty barber,source-route-shift,"""Emu Park"" ""hair salon"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,7,Kawana Rockhampton,art gallery workshops market,source-route-shift,"""Kawana Rockhampton"" ""gallery"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,8,Kawana Rockhampton,cleaning pest control,source-route-shift,"""Kawana Rockhampton"" ""cleaning"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,9,Kawana Rockhampton,landscaping excavation mini digger,source-route-shift,"""Kawana Rockhampton"" ""landscaping"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,10,Kawana Rockhampton,salon beauty barber,source-route-shift,"""Kawana Rockhampton"" ""hair salon"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,11,Rockhampton,art gallery workshops market,source-route-shift,"""Rockhampton"" ""gallery"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-17,12,Rockhampton,cleaning pest control,source-route-shift,"""Rockhampton"" ""cleaning"" ""official website""",Direct owned website search will produce stronger business-owned social or website-gap evidence than broad locality search.,3 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
