date,area,status,next_action,owner,safety_gate,evidence_path,notes
2026-06-17,Prospect intake,12 staged / 5 evidence-ready,Review pending promotion approvals before any prospect work starts.,Daniel,Promotion approval required,.agent/memory/working/approval_queue.csv,Promotion is not outreach approval.
2026-06-17,Objective coverage,11 original-objective checks,Use gated items as the honest remaining path to full supervised business operation.,Codex,Objective audit does not approve blocked actions,.agent/memory/working/objective_coverage_audit.csv,"Maps autonomous CEO engine, outreach, design, tracking, GitHub, region coverage, and revenue management."
2026-06-17,Safety invariants,24 logical safety checks,Treat any failed invariant as a hard stop before outreach or promotion work.,Codex,Invariant failures block the CEO loop,.agent/memory/working/safety_invariants.csv,Cross-file consistency and approval enforcement checks.
2026-06-17,Capability matrix,10 objective coverage checks,Use gated items as the remaining path to full autonomous business operation.,Codex,Readiness audit does not approve actions,.agent/memory/working/capability_matrix.csv,Maps current engine state to the original objective.
2026-06-17,Contact compliance,5 contact-basis checks,"Require contact basis, sender ID, opt-out, and explicit outreach approval before any send.",Daniel,Compliance review is not outreach approval,.agent/memory/working/contact_compliance.csv,"Commercial electronic messages require a lawful basis, identification, and opt-out."
2026-06-17,Pre-send readiness,5 send-readiness audit rows,Treat any blocked-pre-send or blocked-no-approved-prospects status as a hard stop for outreach.,Daniel,Pre-send readiness does not send or approve outreach,.agent/memory/working/pre_send_readiness.csv,"Checks consent/contact basis, sender ID, opt-out, exact-copy approval, and manual send gate."
2026-06-17,Delivery readiness,5 internal delivery plans,"Generate delivery plans after prospect promotion, then keep all client-facing steps gated.",Codex,"No publish, hosting, billing, or proposal send without approval",.agent/memory/working/delivery_readiness.csv,Delivery plans are internal project scaffolds only.
2026-06-17,Approval decisions,5 decision summary items / 5 approval packets,"Use approval packets to record approve, reject, or hold before promotion work proceeds.",Daniel,Decision recording is not outreach approval,.agent/memory/working/approval_decision_summary.csv,Approve decisions still require separate promotion execution.
2026-06-17,Approval decision inbox,0 approve/reject/hold decision rows,"Use the inbox to record approve, reject, or hold without confusing promotion with outreach.",Daniel,"Decision recording does not approve outreach, publishing, GitHub writes, billing, or client-facing actions",.agent/memory/working/approval_decision_inbox.csv,Gives Daniel all decision choices for each promotion packet.
2026-06-17,Decision cockpit,0 consolidated decision rows,"Review cockpit rows when deciding approve, reject, or hold for promotion packets.",Daniel,Cockpit is advisory and only records local decisions,.agent/memory/working/decision_cockpit.csv,"Combines evidence, private concepts, GitHub local drafts, and blocked follow-ons in one place."
2026-06-17,Post-approval workflow,0 gated workflow steps,"Use this map after a promotion approval is recorded, then stop again at outreach and remote-write gates.",Codex,Workflow map is advisory and cannot execute external actions,.agent/memory/working/post_approval_workflow.csv,Turns approval decisions into a safe regeneration sequence.
2026-06-17,Self-improvement,6 scorecard checks,Review watch and needs-work items before changing process or memory.,Codex,Diagnostics do not approve actions,.agent/memory/working/improvement_scorecard.csv,Use evidence before updating durable lessons.
2026-06-17,Learning queue,5 gated learning proposals,"Review proposal items before changing durable memory, protocols, or operating manual.",Daniel,Learning proposals do not edit memory or approve actions,.agent/memory/working/learning_queue.csv,Turns repeated evidence and council verdicts into reviewable self-improvement proposals.
2026-06-17,Operator action queue,8 ranked actions,Work allowed-now research items and keep Daniel/external actions gated.,Codex,"Queue is advisory and cannot approve promotion, outreach, remote writes, publishing, or billing",.agent/memory/working/operator_action_queue.csv,"Unifies research, approvals, GitHub, outreach, and weekly operations into one action surface."
2026-06-17,Source plan,25 regional search lanes,Run research-only checks from source_plan.csv before adding new intake rows.,Codex,Discovery is not contact,.agent/memory/working/source_plan.csv,"Covers Kawana, Rockhampton, Yeppoon, Emu Park, and Capricorn Coast."
2026-06-17,Source quality map,504 targeted source routes,Use high-quality source routes before broad web searches when a lane has prior failures.,Codex,Source routing is research-only and does not approve capture or outreach,.agent/memory/working/source_quality_map.csv,Designed to reduce repeated locality-page search failures.
2026-06-17,Outreach drafts,5 unsent draft packs,"Create drafts only for promoted prospects, then require separate send approval.",Codex,Drafting is not sending,.agent/memory/working/outreach_drafts.csv,Every draft must include opt-out wording and documented contact basis.
2026-06-17,Outreach playbook library,3 generic playbook templates,Use playbooks only as council-reviewed starting points after prospect approval and exact outreach approval.,Codex,Templates are not approved copy and cannot be sent,.agent/memory/working/outreach_playbook_library.csv,"Every playbook must keep placeholders, opt-out wording, contact-basis requirements, and manual send gates."
2026-06-17,Offer strategy,12 candidate offer angles prepared,"Use the strategy matrix when creating mockup briefs, outreach drafts, and proposals after approval.",Codex,Strategy is not outreach approval,.agent/memory/working/offer_strategy.csv,"Keeps pricing, trust hooks, and CTAs consistent with the business model."
2026-06-17,Revenue forecast,4 forecast stages,Use forecast stages to prioritize approval decisions and avoid mistaking pipeline value for booked revenue.,Codex,"Forecast is not invoice, charge, or client promise approval",.agent/memory/working/revenue_forecast.csv,Weighted MRR is planning math only.
2026-06-17,Priority board,12 ranked candidates,"Review the top ranked item first, then decide whether to approve promotion.",Daniel,Ranking is not approval,.agent/memory/working/priority_board.csv,"Priority score combines evidence strength, niche fit, website opportunity, and concept readiness."
2026-06-17,Research queue,7 candidates need more evidence,Continue research-only verification for social profiles and owned website gaps.,Codex,"Research-only; no account login, contact, forms, DMs, or calls",.agent/memory/working/research_queue.csv,Log each source checked in research_attempts.csv.
2026-06-17,Research controller,25 ranked source lanes,"Work the highest-ranked safe lane, then log the result before adding any intake evidence.",Codex,"Research-only; no account login, contact, forms, DMs, calls, or social interaction",.agent/memory/working/research_controller.csv,Turns the source plan into a daily research priority order.
2026-06-17,Regional coverage heatmap,25 region/niche lanes scored,Use top under-covered lanes for research-only sourcing before repeating saturated searches.,Codex,Heatmap is research-only and cannot approve capture or outreach,.agent/memory/working/regional_coverage_heatmap.csv,"Balances Kawana, Capricorn Coast, Rockhampton, Yeppoon, and Emu Park."
2026-06-17,Research experiments,12 safe experiment routes,"Run the top experiment as research-only, then capture strong evidence or log a failed attempt.",Codex,Experiments are research-only and do not approve contact or capture weak evidence,.agent/memory/working/research_experiments.csv,Converts failed broad searches into deliberate source-route tests.
2026-06-17,Source pivot plan,0 candidates need alternate source-family research,Use pivot queries when named social searches have failed repeatedly.,Codex,"Pivot research is research-only and cannot approve capture, promotion, or outreach",.agent/memory/working/source_pivot_plan.csv,"Prevents repeated failed social searches by shifting to directories, official sources, or tourism/council sources."
2026-06-17,Research suppression list,7 repeated failed query patterns suppressed,Use suppression rows to avoid repeating weak public searches until a stronger source family appears.,Codex,Suppression is advisory research memory only and cannot approve capture or outreach,.agent/memory/working/research_suppression_list.csv,This is the self-regulating layer for failed source patterns.
2026-06-17,Council debates,6 active debate records / 7 council routes,Use council verdicts as advisory decision pressure before any gated action.,Codex,Council verdicts do not approve gated external actions,.agent/memory/working/council_debates.csv,"Every debate includes best case, hard pushback, split, verdict, and next test."
2026-06-17,Council quality,6 debate quality checks,Regenerate council debates if any quality_status is needs-rework.,Codex,Council quality does not approve gated actions,.agent/memory/working/council_quality_audit.csv,"Checks for real disagreement, verdict, next test, evidence, and safety gate."
2026-06-17,Council CEO brief,6 ranked boardroom guidance items,Use the brief to choose the next supervised move while keeping blocked actions blocked.,Codex,CEO brief is advisory and cannot approve gated actions,.agent/memory/working/council_ceo_brief.csv,"Summarizes council arguments, objections, uncomfortable truths, allowed moves, and Daniel decisions needed."
2026-06-17,Council decision gates,7 action-to-council gates,Check gate_status before using any council verdict to justify an action.,Codex,Council gates do not replace Daniel approval or action permissions,.agent/memory/working/council_decision_gates.csv,Prevents a council recommendation from being mistaken for permission.
2026-06-17,Automation status,2 automation configs checked,"Keep prospect scanning active, research-only, and tied to log/capture gates.",Codex,Automation may research and stage only; no outreach or promotion,.agent/memory/working/automation_status.csv,Verifies actual Codex automation config rather than a static note.
2026-06-17,Action permissions,7 allowed/blocked action checks,"Use blocked_until fields before taking any promotion, outreach, GitHub, or publishing step.",Codex,Permission map is advisory but binding for autonomous actions,.agent/memory/working/action_permissions.csv,Turns safety gates into operational action states.
2026-06-17,Private concepts,5 internal concept pages generated,Use concepts only for internal review until a prospect and outreach approval exist.,Codex,Do not publish or send concepts,.agent/memory/working/private_concepts.csv,"Concepts are planning assets, not client-facing promises."
2026-06-17,GitHub workflow,5 local issue drafts prepared,Create GitHub issues only after Daniel approves the exact issue creation workflow.,Daniel,No remote issue creation without explicit approval,.agent/memory/working/github_issue_drafts.csv,Drafts are local Markdown only.
2026-06-17,GitHub readiness,5 local readiness checks,Fix any local mismatch before asking Daniel to approve remote issue creation.,Codex,Readiness does not approve remote GitHub writes,.agent/memory/working/github_readiness_audit.csv,"Checks packet, issue draft, execution plan, command artifact, title/label match, and lock status."
2026-06-17,GitHub execution plan,5 local issue creation commands prepared,Execute only after Daniel approves exact remote issue creation.,Daniel,No remote GitHub writes without approval,.agent/memory/working/github_execution_plan.csv,"The generated command file is a plan, not permission to run it."
2026-06-17,Outreach,0 logged outreach events / 5 approved prospects,Keep outreach disabled until prospects are promoted and outreach drafts are separately approved.,Daniel,Explicit outreach approval required,.agent/memory/working/outreach_log.csv,"No email, SMS, DM, form submission, social post, or call."
