date,business,region,niche,score,recommendation,missing_evidence,next_action,notes
2026-06-24,Yeppoon Community Market,Yeppoon,community market / food and produce,100,promote-review,,Daniel review for possible promotion into prospects.csv,Source says Saturdays 6am-10am at Yeppoon Show Grounds and links More Info to Facebook.
2026-06-24,The Mill Gallery,Yeppoon,art gallery / workshops,80,research-more,social signal,"Find verified Facebook, Instagram, Google Business Profile, or TikTok URL","Source lists The Mill Gallery at Normanby Street, Yeppoon, open Tuesday-Sunday 10-4."
2026-06-24,The Gallery - Emu Park,Emu Park,art gallery / workshops,80,research-more,social signal,"Find verified Facebook, Instagram, Google Business Profile, or TikTok URL","Source lists The Gallery at 42 Pattison Street, Emu Park, open Wednesday-Sunday 10-4."
2026-06-24,Fantastic Landscaping,Emu Park,landscaping,80,research-more,social signal,"Find verified Facebook, Instagram, Google Business Profile, or TikTok URL",Source lists Fantastic Landscaping with phone number in Emu Park Online shops/businesses.
2026-06-24,Scrub-Brite Cleaning Services,Emu Park,cleaning services,80,research-more,social signal,"Find verified Facebook, Instagram, Google Business Profile, or TikTok URL",Source lists Scrub-Brite Cleaning Services with phone number in Emu Park Online shops/businesses.
2026-06-24,Termi Home & Commercial CQ,Emu Park / Capricorn Coast,pest control,80,research-more,social signal,"Find verified Facebook, Instagram, Google Business Profile, or TikTok URL",Source lists Termi Home & Commercial CQ with phone number in Emu Park Online shops/businesses.
2026-06-24,Beachwood Mini Digger,Emu Park,mini digger / garden irrigation,80,research-more,social signal,"Find verified Facebook, Instagram, Google Business Profile, or TikTok URL","Source lists Beachwood Mini Digger, Garden Irrigation in Emu Park Online shops/businesses."
2026-06-24,Emu Park Pizza,Emu Park,takeaway / pizza,80,research-more,social signal,"Find verified Facebook, Instagram, Google Business Profile, or TikTok URL",Source lists Emu Park Pizza with phone number in Emu Park Online shops/businesses.
2026-06-24,CocoBrew Riverfront,Rockhampton,restaurant / bar,100,promote-review,,Daniel review for possible promotion into prospects.csv,"Refreshed from public source checks in the Kawana Rockhampton cafe restaurant bar catering lane. Research only; no outreach, approval, or promotion performed."
2026-06-24,CocoBrew Rockhampton,Rockhampton,restaurant / functions / accommodation,100,promote-review,,Daniel review for possible promotion into prospects.csv,Source checked via public site HTML; no outreach or form interaction.
2026-06-24,CocoBrew Express Yeppoon,Yeppoon,drive-thru cafe / catering,100,promote-review,,Daniel review for possible promotion into prospects.csv,Source checked via public site HTML; no outreach or form interaction.
2026-06-24,Pine Beach Hotel,Emu Park,hotel / restaurant / bar / accommodation,100,promote-review,,Daniel review for possible promotion into prospects.csv,Captured from public website research only; no outreach performed.
2026-06-24,Ella Anderson beauty,Yeppoon,beauty salon,100,promote-review,,Daniel review for possible promotion into prospects.csv,"Captured from public named-search, Facebook, and Instagram evidence only. Research only; no outreach performed."
2026-06-24,Her. Hair,Yeppoon,hair salon / hair stylist,100,promote-review,,Daniel review for possible promotion into prospects.csv,Captured from public named-search and Facebook evidence only. Research only; no outreach performed.
2026-06-24,CQ Gutter Cleaning,Yeppoon,gutter-cleaning,100,promote-review,,Daniel review for possible promotion into prospects.csv,Captured from public research only; no outreach performed.
