date,region,niche,source_family,query,quality_score,use_when,evidence_to_capture,failure_pattern,safe_next_action,notes
2026-06-17,Kawana Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Kawana Rockhampton"" ""cafe"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Kawana Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Kawana Rockhampton"" ""restaurant"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Kawana Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Kawana Rockhampton"" ""bar"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Kawana Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Kawana Rockhampton"" ""catering"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Kawana Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Kawana Rockhampton"" ""takeaway"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Rockhampton"" ""cafe"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Rockhampton"" ""restaurant"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Rockhampton"" ""bar"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Rockhampton"" ""catering"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
2026-06-17,Rockhampton,cafe restaurant bar catering,Direct owned website search,"""Rockhampton"" ""takeaway"" ""official website""",96,Use now because generic social search has repeatedly returned weak locality/background results.,"owned website URL, business name, region match, website/service gap or conversion issue",2 prior lane failures / 0 source-family failures,"Research only; log source checked, capture intake only with public business-owned evidence.","No contact, account login, scraping behind login, form submission, or social interaction."
