date,business,social_status,website_status,source_status,readiness,next_action,notes
2026-06-24,Yeppoon Community Market,verified,owned-website-missing,directory-and-social,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Source says Saturdays 6am-10am at Yeppoon Show Grounds and links More Info to Facebook.
2026-06-24,The Mill Gallery,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,"Source lists The Mill Gallery at Normanby Street, Yeppoon, open Tuesday-Sunday 10-4."
2026-06-24,The Gallery - Emu Park,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,"Source lists The Gallery at 42 Pattison Street, Emu Park, open Wednesday-Sunday 10-4."
2026-06-24,Fantastic Landscaping,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Fantastic Landscaping with phone number in Emu Park Online shops/businesses.
2026-06-24,Scrub-Brite Cleaning Services,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Scrub-Brite Cleaning Services with phone number in Emu Park Online shops/businesses.
2026-06-24,Termi Home & Commercial CQ,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Termi Home & Commercial CQ with phone number in Emu Park Online shops/businesses.
2026-06-24,Beachwood Mini Digger,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,"Source lists Beachwood Mini Digger, Garden Irrigation in Emu Park Online shops/businesses."
2026-06-24,Emu Park Pizza,needs-verification,owned-website-missing,directory-source,research-more,Find verified social evidence,Source lists Emu Park Pizza with phone number in Emu Park Online shops/businesses.
2026-06-24,CocoBrew Riverfront,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,"Refreshed from public source checks in the Kawana Rockhampton cafe restaurant bar catering lane. Research only; no outreach, approval, or promotion performed."
2026-06-24,CocoBrew Rockhampton,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Source checked via public site HTML; no outreach or form interaction.
2026-06-24,CocoBrew Express Yeppoon,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Source checked via public site HTML; no outreach or form interaction.
2026-06-24,Pine Beach Hotel,verified,owned-website-found,other-public-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Captured from public website research only; no outreach performed.
2026-06-24,Ella Anderson beauty,verified,owned-website-missing,social-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,"Captured from public named-search, Facebook, and Instagram evidence only. Research only; no outreach performed."
2026-06-24,Her. Hair,verified,owned-website-missing,social-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Captured from public named-search and Facebook evidence only. Research only; no outreach performed.
2026-06-24,CQ Gutter Cleaning,verified,unknown,social-source,promotion-review-ready,Daniel can review for promotion; still no outreach without separate approval,Captured from public research only; no outreach performed.
