date,rank,region,niche,lane_status,attempts_logged,intake_matches,priority_score,recommended_query,next_action,safety_gate,notes
2026-06-17,1,Yeppoon,salon beauty barber,try-new-source,2,0,80,"""Yeppoon"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,2,Capricorn Coast,art gallery workshops market,try-new-source,3,0,70,"""Capricorn Coast"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,3,Capricorn Coast,cafe restaurant bar catering,try-new-source,3,0,70,"""Capricorn Coast"" ""cafe restaurant bar catering"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,4,Capricorn Coast,landscaping excavation mini digger,try-new-source,4,0,70,"""Capricorn Coast"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,5,Capricorn Coast,salon beauty barber,try-new-source,3,0,70,"""Capricorn Coast"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,6,Emu Park,salon beauty barber,try-new-source,3,0,70,"""Emu Park"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,7,Kawana Rockhampton,art gallery workshops market,try-new-source,3,0,70,"""Kawana Rockhampton"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,8,Kawana Rockhampton,cleaning pest control,try-new-source,3,0,70,"""Kawana Rockhampton"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,9,Kawana Rockhampton,landscaping excavation mini digger,try-new-source,3,0,70,"""Kawana Rockhampton"" ""landscaping excavation mini digger"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,10,Kawana Rockhampton,salon beauty barber,try-new-source,3,0,70,"""Kawana Rockhampton"" ""salon beauty barber"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,11,Rockhampton,art gallery workshops market,try-new-source,3,0,70,"""Rockhampton"" ""art gallery workshops market"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
2026-06-17,12,Rockhampton,cleaning pest control,try-new-source,3,0,70,"""Rockhampton"" ""cleaning pest control"" Facebook Instagram website",Run research-only source checks and log each attempt before adding intake evidence.,"No contact, account login, form submission, DM, call, or social interaction.","No contact, scraping behind login, form submission, or account interaction."
