date,rank,business,region,niche,quality_band,decision_state,readiness,priority_score,why_it_matters,evidence_gap,safe_next_step,approval_gate
2026-06-17,1,CocoBrew Express Yeppoon,Yeppoon,drive-thru cafe / catering,approved prospect,approve,promotion-review-ready,161,"Drive-thru coffee and catering page with menu CTA, catering CTA, location proof, and breakfast/lunch commuter hook.",No major evidence gap recorded.,"Prepare mockup, compliance, and outreach draft; do not send without exact approval.","No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,2,CocoBrew Riverfront,Rockhampton,restaurant / bar,approved prospect,approve,promotion-review-ready,161,"Riverfront launch page with book-a-table CTA, Legends Bar proof, functions/events pathway, and local sports hospitality hook.",No major evidence gap recorded.,"Prepare mockup, compliance, and outreach draft; do not send without exact approval.","No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,3,CocoBrew Rockhampton,Rockhampton,restaurant / functions / accommodation,approved prospect,approve,promotion-review-ready,161,"Functions-first landing page with conference, restaurant, accommodation, booking, and gift-card CTA hierarchy.",No major evidence gap recorded.,"Prepare mockup, compliance, and outreach draft; do not send without exact approval.","No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,4,Pine Beach Hotel,Emu Park,hotel / restaurant / bar / accommodation,approved prospect,approve,promotion-review-ready,161,"Coastal pub landing page with menu, what's-on, stay, bottle shop, and function enquiry CTAs for locals and visitors.",No major evidence gap recorded.,"Prepare mockup, compliance, and outreach draft; do not send without exact approval.","No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,5,Yeppoon Community Market,Yeppoon,community market / food and produce,approved prospect,approve,promotion-review-ready,159,"Simple vendor/stallholder page with weekly produce calendar, visitor FAQs, and enquiry CTA.",owned website gap,"Prepare mockup, compliance, and outreach draft; do not send without exact approval.","No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,6,Beachwood Mini Digger,Emu Park,mini digger / garden irrigation,cooled down,none,research-more,98,"Small-access excavation page, irrigation repairs, clean-site promise, quick quote CTA.",Repeated weak public searches; use a genuinely new source family.,Do not repeat the same search; wait for a new source family.,"No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,7,Fantastic Landscaping,Emu Park,landscaping,cooled down,none,research-more,98,"Before/after project gallery, suburbs served, quote CTA, and tidy-site trust hook.",Repeated weak public searches; use a genuinely new source family.,Do not repeat the same search; wait for a new source family.,"No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,8,Scrub-Brite Cleaning Services,Emu Park,cleaning services,cooled down,none,research-more,98,"Police-cleared/insured cleaning checklist, service packages, recurring booking CTA.",Repeated weak public searches; use a genuinely new source family.,Do not repeat the same search; wait for a new source family.,"No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,9,Termi Home & Commercial CQ,Emu Park / Capricorn Coast,pest control,cooled down,none,research-more,98,"Termite inspection CTA, home/commercial split, licensed treatment trust block, suburb coverage.",Repeated weak public searches; use a genuinely new source family.,Do not repeat the same search; wait for a new source family.,"No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,10,The Gallery - Emu Park,Emu Park,art gallery / workshops,cooled down,none,research-more,94,"Artist showcase, workshop schedule, local gift shopping page, and enquiry CTA.",Repeated weak public searches; use a genuinely new source family.,Do not repeat the same search; wait for a new source family.,"No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,11,The Mill Gallery,Yeppoon,art gallery / workshops,cooled down,none,research-more,94,"Workshop calendar, artist showcase, class booking/enquiry CTA, and tourist-facing visit page.",Repeated weak public searches; use a genuinely new source family.,Do not repeat the same search; wait for a new source family.,"No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
2026-06-17,12,Emu Park Pizza,Emu Park,takeaway / pizza,cooled down,none,research-more,90,"Mobile menu, hours, pickup CTA, specials, and local beach-night positioning.",Repeated weak public searches; use a genuinely new source family.,Do not repeat the same search; wait for a new source family.,"No outreach, publishing, billing, hosting, or remote write without Daniel's exact approval."
