date,rank,business,region,niche,priority_score,status,next_best_action,evidence_path,notes
2026-06-17,1,CocoBrew Express Yeppoon,Yeppoon,drive-thru cafe / catering,161,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/cocobrew-express-yeppoon.md,Prioritized for supervised review; no outreach approval implied.
2026-06-17,2,CocoBrew Riverfront,Rockhampton,restaurant / bar,161,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/cocobrew-riverfront.md,Prioritized for supervised review; no outreach approval implied.
2026-06-17,3,CocoBrew Rockhampton,Rockhampton,restaurant / functions / accommodation,161,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/cocobrew-rockhampton.md,Prioritized for supervised review; no outreach approval implied.
2026-06-17,4,Pine Beach Hotel,Emu Park,hotel / restaurant / bar / accommodation,161,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/pine-beach-hotel.md,Prioritized for supervised review; no outreach approval implied.
2026-06-17,5,Yeppoon Community Market,Yeppoon,community market / food and produce,159,promotion-review,Daniel promotion review; do not send outreach.,.agent/memory/working/intake_opportunity_briefs/yeppoon-community-market.md,Prioritized for supervised review; no outreach approval implied.
2026-06-17,6,Beachwood Mini Digger,Emu Park,mini digger / garden irrigation,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-17,7,Fantastic Landscaping,Emu Park,landscaping,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-17,8,Scrub-Brite Cleaning Services,Emu Park,cleaning services,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-17,9,Termi Home & Commercial CQ,Emu Park / Capricorn Coast,pest control,98,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-17,10,The Gallery - Emu Park,Emu Park,art gallery / workshops,94,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-17,11,The Mill Gallery,Yeppoon,art gallery / workshops,94,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
2026-06-17,12,Emu Park Pizza,Emu Park,takeaway / pizza,90,research-more,Verify public social profile and owned website status; update prospect_intake.csv only with sourced evidence.,.agent/memory/working/research_queue.csv,Prioritized for supervised review; no outreach approval implied.
