date,rank,region,niche,experiment_type,query,hypothesis,prior_failure_signal,success_criteria,safe_next_action,status,notes
2026-06-24,1,Yeppoon,art gallery / workshops,named-candidate-verification,"""The Mill Gallery"" ""Yeppoon"" Facebook Instagram website",A named candidate from the intake research queue should yield stronger social or website evidence than a generic regional lane.,4 failed/no-social attempts recorded for this business,"Capture only public business-owned social/profile, owned website status, region fit, and source URL evidence.",Switch to named directory or official-site verification before repeating social search.,needs-new-source-family,"Business: The Mill Gallery. Source hint: https://yeppooncapricorncoast.com.au/art-galleries/. No contact, login, form submission, DM, call, or social interaction."
2026-06-24,2,Emu Park,art gallery / workshops,named-candidate-verification,"""The Gallery - Emu Park"" ""Emu Park"" Facebook Instagram website",A named candidate from the intake research queue should yield stronger social or website evidence than a generic regional lane.,4 failed/no-social attempts recorded for this business,"Capture only public business-owned social/profile, owned website status, region fit, and source URL evidence.",Switch to named directory or official-site verification before repeating social search.,needs-new-source-family,"Business: The Gallery - Emu Park. Source hint: https://yeppooncapricorncoast.com.au/art-galleries/. No contact, login, form submission, DM, call, or social interaction."
2026-06-24,3,Emu Park,landscaping,named-candidate-verification,"""Fantastic Landscaping"" ""Emu Park"" Facebook Instagram website",A named candidate from the intake research queue should yield stronger social or website evidence than a generic regional lane.,1 failed/no-social attempts recorded for this business,"Capture only public business-owned social/profile, owned website status, region fit, and source URL evidence.",Run named-candidate verification; capture only public business-owned social/website evidence or log failed attempt.,ready-to-test,"Business: Fantastic Landscaping. Source hint: https://www.emuparkonline.com.au/0-shops/. No contact, login, form submission, DM, call, or social interaction."
2026-06-24,4,Emu Park,cleaning services,named-candidate-verification,"""Scrub-Brite Cleaning Services"" ""Emu Park"" Facebook Instagram website",A named candidate from the intake research queue should yield stronger social or website evidence than a generic regional lane.,1 failed/no-social attempts recorded for this business,"Capture only public business-owned social/profile, owned website status, region fit, and source URL evidence.",Run named-candidate verification; capture only public business-owned social/website evidence or log failed attempt.,ready-to-test,"Business: Scrub-Brite Cleaning Services. Source hint: https://www.emuparkonline.com.au/0-shops/. No contact, login, form submission, DM, call, or social interaction."
2026-06-24,5,Emu Park / Capricorn Coast,pest control,named-candidate-verification,"""Termi Home & Commercial CQ"" ""Emu Park / Capricorn Coast"" Facebook Instagram website",A named candidate from the intake research queue should yield stronger social or website evidence than a generic regional lane.,1 failed/no-social attempts recorded for this business,"Capture only public business-owned social/profile, owned website status, region fit, and source URL evidence.",Run named-candidate verification; capture only public business-owned social/website evidence or log failed attempt.,ready-to-test,"Business: Termi Home & Commercial CQ. Source hint: https://www.emuparkonline.com.au/0-shops/. No contact, login, form submission, DM, call, or social interaction."
2026-06-24,6,Emu Park,mini digger / garden irrigation,named-candidate-verification,"""Beachwood Mini Digger"" ""Emu Park"" Facebook Instagram website",A named candidate from the intake research queue should yield stronger social or website evidence than a generic regional lane.,1 failed/no-social attempts recorded for this business,"Capture only public business-owned social/profile, owned website status, region fit, and source URL evidence.",Run named-candidate verification; capture only public business-owned social/website evidence or log failed attempt.,ready-to-test,"Business: Beachwood Mini Digger. Source hint: https://www.emuparkonline.com.au/0-shops/. No contact, login, form submission, DM, call, or social interaction."
2026-06-24,7,Emu Park,takeaway / pizza,named-candidate-verification,"""Emu Park Pizza"" ""Emu Park"" Facebook Instagram website",A named candidate from the intake research queue should yield stronger social or website evidence than a generic regional lane.,1 failed/no-social attempts recorded for this business,"Capture only public business-owned social/profile, owned website status, region fit, and source URL evidence.",Run named-candidate verification; capture only public business-owned social/website evidence or log failed attempt.,ready-to-test,"Business: Emu Park Pizza. Source hint: https://www.emuparkonline.com.au/0-shops/. No contact, login, form submission, DM, call, or social interaction."
2026-06-24,8,Kawana Rockhampton,cleaning pest control,source-route-shift,"""Kawana Rockhampton"" ""cleaning"" site:facebook.com",Facebook public page will produce stronger business-owned social or website-gap evidence than broad locality search.,1 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-24,9,Rockhampton,cleaning pest control,source-route-shift,"""Rockhampton"" ""cleaning"" site:facebook.com",Facebook public page will produce stronger business-owned social or website-gap evidence than broad locality search.,1 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-24,10,Capricorn Coast,cleaning pest control,gap-verification,"""Capricorn Coast"" ""cleaning"" site:facebook.com",Facebook public page will produce stronger business-owned social or website-gap evidence than broad locality search.,1 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-24,11,Emu Park,cafe restaurant bar catering,gap-verification,"""Emu Park"" ""cafe"" site:facebook.com",Facebook public page will produce stronger business-owned social or website-gap evidence than broad locality search.,1 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
2026-06-24,12,Yeppoon,cafe restaurant bar catering,gap-verification,"""Yeppoon"" ""cafe"" site:facebook.com",Facebook public page will produce stronger business-owned social or website-gap evidence than broad locality search.,1 failed/no-social attempts recorded for this lane,"Capture only if a public business-owned social/profile URL, region fit, and website-gap evidence are all present.","Run research-only check; capture candidate only with strong public evidence, otherwise log attempt.",ready-to-test,"No contact, login, scraping behind login, form submission, DM, call, or social interaction."
