date,invariant,status,evidence,required_action,notes
2026-06-24,Approval decisions use canonical promotion type,pass,5 approval decision rows,Normalize approval_type values before promotion or permission checks.,Approval decision types are canonical.
2026-06-24,Prospects require recorded approval,pass,5 prospects / 5 recorded promotion approvals,Remove or investigate prospects without matching approval decision.,All prospect rows are approval-backed or there are no prospects.
2026-06-24,Prospects must originate from staged intake,pass,5 prospects / 15 intake rows,Investigate any prospect not present in staged intake.,Prospect origin invariant holds.
2026-06-24,Outreach requires explicit approval,pass,0 outreach log rows,Do not send; add approval evidence or correct the log.,No sent outreach rows without approval.
2026-06-24,GitHub plan must not be runnable by default,pass,3 GitHub execution plan rows,Reset GitHub plan rows to not-approved-not-run unless explicit execution approval exists.,All GitHub commands remain local plans.
2026-06-24,GitHub readiness audit must stay local-only,pass,3 GitHub readiness rows,Reset readiness and execution plan rows unless Daniel explicitly approved remote issue creation.,GitHub readiness rows are local-only.
2026-06-24,Council gates cannot unlock external actions,pass,7 council decision gate rows,"Reset any council gate that appears to allow promotion, outreach, GitHub writes, publishing, delivery, or billing.",Council gates only allow research/capture under existing evidence rules.
2026-06-24,Council debates must pass quality audit,pass,6 council quality rows,Regenerate council debates before using them to influence action gates.,Council debates pass quality audit.
2026-06-24,Council CEO brief cannot approve gated actions,pass,6 council CEO brief rows,"Regenerate the council CEO brief so it reports allowed moves, blocked actions, and Daniel decisions without granting approval.",CEO brief remains advisory only.
2026-06-24,Source pivot plan stays research-only,pass,2 source pivot rows,"Regenerate source pivot plan so pivot queries cannot imply capture, promotion, outreach, GitHub, publishing, billing, or client-facing approval.",Source pivots are research-only.
2026-06-24,Regional coverage heatmap stays research-only,pass,25 regional coverage rows,"Regenerate heatmap so it only recommends safe public research and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.",Regional heatmap only prioritizes research lanes.
2026-06-24,Research suppression list stays advisory and research-only,pass,4 suppressed repeat-search rows,"Regenerate suppression rows so they only steer public research and cannot approve capture, promotion, outreach, publishing, billing, or remote GitHub writes.",Suppression rows only steer future research.
2026-06-24,Operator queue cannot allow gated external actions,pass,13 operator queue rows,"Regenerate operator queue so promotion, outreach, remote GitHub writes, publishing, billing, and client-facing actions are never allowed-now.",Operator queue only allows research/local planning now.
2026-06-24,Approval decision inbox offers safe approve reject hold choices,pass,3 approval decision inbox rows,Regenerate approval decision inbox so every row has approve/reject/hold local decision commands and a clear non-outreach safety gate.,Approval inbox decisions remain local and separate from outreach.
2026-06-24,Decision cockpit stays advisory and local,pass,3 cockpit decision rows,"Regenerate decision cockpit so it only exposes local approve/reject/hold decision recording and does not approve promotion, outreach, publishing, billing, or remote GitHub writes.","Decision cockpit is a review surface, not permission."
2026-06-24,Post-approval workflow stays gated and local,pass,15 workflow rows,"Regenerate post-approval workflow so it maps local steps only, keeps external actions blocked, and requires recorded approval before promotion.",Post-approval workflow is an advisory sequence only.
2026-06-24,Learning queue cannot mutate rules without review,pass,5 learning proposal rows,Restore proposal-review status and explicit Daniel review requirement before any memory/protocol update.,Learning queue items are review-gated.
2026-06-24,Outreach drafts require approved prospects,pass,5 draft rows / 5 prospects,Delete or regenerate orphaned draft rows.,Draft/prospect relationship holds.
2026-06-24,Outreach playbook library stays generic and gated,pass,3 generic playbook rows,"Regenerate playbooks so every row uses placeholders and requires prospect approval, contact basis, opt-out, sender identity, exact Daniel approval, and manual send.","Playbooks are generic templates, not approved copy."
2026-06-24,Contact compliance rows require approved prospects,pass,5 contact compliance rows / 5 prospects,Regenerate compliance after prospect tracker is corrected.,Compliance/prospect relationship holds.
2026-06-24,Delivery plans require approved prospects,pass,5 delivery rows / 5 prospects,Regenerate delivery readiness after prospect tracker is corrected.,Delivery/prospect relationship holds.
2026-06-24,Pre-send readiness rows require approved prospects,pass,5 pre-send rows / 5 prospects,"Regenerate pre-send readiness after correcting prospect, draft, and compliance trackers.",Pre-send readiness rows are prospect-backed or pipeline-level only.
2026-06-24,Promotion log requires recorded approval,pass,5 promotion log rows / 5 recorded approvals,Investigate promotion log rows without matching approval decisions.,Promotion log invariant holds.
